person	flexible, intelligent, social, emotional
instability	flexible, unpredictable, unpredictable, temporary, dynamic
install	flexible, editable, digital, automated, maintenance, local, repetitive, software
installation art	flexible, interactive, immersive, sculpture, large
instant coffee	fast, hot, instant, beverages, flavorful, portable
instant message	flexible, real-time, text, communication, instant, asynchronous, private
instrument panel	flexible, electronic, interactive, informative, user-friendly
insurance fraud	legal, financial, crime, medical
insurance goal	flexible, customizable, protects, financial, affordable
integral	flexible, continuous, mathematical, realistic, unique, complex, measurable
integrated circuit	flexible, small, modular, electronic, compact
integrity	trustworthy, honest, reliable, ethical, authentic
intel	flexible, fast, secure, reliable
intellectual property	legal, digital, creative, protected, ownership
intelligence asset	flexible, adaptable, real-time, automated, strategic, secure
intensive	flexible, continuous, consistent, intense, versatile
intensive care	flexible, medical, critical, emergency, life-saving, monitor, critical
intent	flexible, mental, abstract, open-ended, voluntary, unpredictable, dynamic
intention	flexible, complex, abstract, specific, general
interact	flexible, real-time, social, communication, online, communication
interaction design	creative, user experience, user-friendly, innovative, problem-solving, visual
interactive	flexible, real-time, user-friendly, immersive, digital, dynamic
interest rate	flexible, variable, fixed, fixed, tax-deductible, time-sensitive, investment, financial, risk management, negotiable, legal
interim	flexible, temporary, temporary, short-term, partial, limited
interior design	flexible, functional, aesthetic, creative, decorative
intermediate school	flexible, age, age, education, grade, size
internal medicine	flexible, chronological, treatable, diagnosable, preventative, medical
international law	legal, global, government, universal, enforceable, ethical, history
interrogation	fast, intimidating, formal, verbal communication, psychological, legal
interstate	legal, government, transportation, traffic, distance
interviews	flexible, open-ended, formal, structured, in-person, real-time, digital, face
intimate	personal, private, emotional, sensitive
inventory management	flexible, automation, real-time, scalable, tracking, management
invest	flexible, long-term, risk management, returns, diversification, returns, taxes, financial, assets, management
invisible	light, intangible, transparent, immobile, weight, size
invitation	flexible, formal, personalized, private, public, social
invite	flexible, open, inclusive, formal, public
iron cross	flexible, strong, metallic, round, military
iron horse	fast, strong, durable, versatile
iron lung	flexible, medical, mechanical, respiratory, large
iron man	flexible, durable, lightweight, strong
iron ore	flexible, magnetic, metal, natural
ivory	light, rare, durable, valuable, white
ivory tower	flexible, isolated, peaceful, luxurious, academic, exclusive
jack russell	flexible, intelligent, energetic, loyal
jake	flexible, lightweight, social, friendly
jam	flexible, sweet, nutritious, musical, fruit
jamaica	flexible, tropical, island, warm, cultural
jam session	flexible, musical, spontaneous, social, improvisation, group, collaborative
jan	flexible, intelligent, social, can communicate, can be trained, can be small, can be used for various purposes, can be found in different locations, can be small, can be used for work, can be used for entertainment, can be found in various locations, can be small, can be used for transportation, can be used for decoration, has a unique appearance, can be used for recreation, can be made of various materials, can be found in different sizes, can be used for therapy, can be used for work, can be used for self-defense, can be customized, can be used for self-defense, can be used for transportation, can be used for protection, can be used for personal protection, can be used for decoration, can be found in different sizes, can be used for entertainment, can be used for therapy, has a wide range of applications, can be used for various purposes, can be used for self-defense, can be used for work, can be used for recreation, can be used for protection, can be used for communication, can be found in different shapes, can be used for transportation, can be used for therapy, can be used for personal protection, can be used for work, can be used for self-defense, has a wide range of applications, can be used for entertainment, can be found in different sizes, can be used for communication, can be used for transportation, can be used for personal protection, can be used for various purposes, can be used for self-defense, can be used for decoration, can be found in different shapes, can be used for work, can be used for recreation, can be used for therapy, can be used for protection, can be used for social purposes, can be used for self-defense, can be used for transportation, can be used for communication, has a wide range of applications, can be used for various purposes, can be used for personal protection, can be used for work, can be used for entertainment, can be found in different sizes, can be used for self-defense, can be used for communication, can be used for transportation, can be used for therapy, can be used for personal protection, can be used for recreation, can be used for work, can be used for protection, can be used for storage, can be used for various purposes, can be used for work, can be used for self-defense, can be used for transportation, has a wide range of applications, can be used for decoration, can be used for entertainment, can be used for personal protection, can be used for protection, can be used for work, can be used for social purposes, can be used for storage, can be used for various purposes, can be used for work, can be used for communication, can be used for transportation, can be used for therapy, can be used for self-defense, can be used for entertainment, can be used for personal protection, can be used for protection, can be used for work, has a wide range of applications, can be used for various purposes, can be used for work, can be used for storage, can be used for transportation, can be used for self-defense, can be used for communication, can be used for recreation, can be used for therapy, can be used for personal protection, can be used for protection, can be used for work, can be used for storage, can be used for various purposes, can be used for work, can be used for entertainment, can be used for self-defense, can be used for transportation, has a wide range of applications, can be used for decoration, can be used for personal protection, can be used for protection, can be used for work, can be used for social purposes, can be used for storage, can be used for various purposes, can be used for work, can be used for communication, can be used for transportation, can be used for therapy, can be used for self-defense, can be used for entertainment, can be used for personal protection, can be used for protection, can be used for work, has a wide range of applications, can be used for various purposes, can be used for work, can be used for storage, can be used for transportation, can be used for self-defense, can be used for communication, can be used for recreation, can be used for therapy, can be used for personal protection, can be used for protection, can be used for work, can be used for social purposes, can be used for storage, can be used for various purposes, can be used for work, can be
jane	flexible, intelligent, friendly, young
jay	fast, small, social, colorful, nocturnal
jazz dance	flexible, cultural, energetic, expressive, rhythmic, complex
jean	flexible, durable, versatile, fashionable, lightweight, comfortable
jeep	flexible, four, transportation, off-road, versatile
jenny	flexible, intelligent, social, gentle
jerry	flexible, social, intelligent, small
jerry can	flexible, portable, lightweight, water, transportation
jet bridge	flexible, automated, large, fast, narrow
jet plane	fast, airborne, large, efficient
jet set	flexible, luxurious, fast, social, exclusive
jet ski	flexible, water, recreational, small, fast
jet stream	fast, air, water, wind, horizontal, travel
jihad	flexible, peaceful, religious, violent
jill	flexible, lightweight, versatile, small, friendly
jimmy	flexible, lightweight, versatile, round, small
jin	flexible, intelligent, social, peaceful, sacred
job action	flexible, temporary, collective, public, formal, negotiations, communication
job center	flexible, job, public, workplace, training
job centre	flexible, public, community, training, education
job creator	flexible, full-time, part-time, managerial, responsible, teamwork, leadership
job description	flexible, dynamic, specific, job, detail, scope
joe job	flexible, temporary, open-ended, part-time, full-time, teamwork, workplace, communication
joey	flexible, social, small, young
john	flexible, male, human, famous
johnny	flexible, intelligent, young, male, friendly
join	flexible, temporary, permanent, collaborative, social
joining	flexible, social, collaborative, simple, organized
jones	flexible, common, male, unique, small
jong	educational, social, teamwork, mental
joseph	flexible, intelligent, creative, spiritual, young, male
josh	flexible, intelligent, friendly
journalism	educational, factual, written, local, investigative, informative
joy ride	flexible, recreational, fun, transportation
judge advocate	flexible, legal, responsible, knowledgeable, social
judges	fair, impartial, knowledgeable, respectful, respectful
judgment call	flexible, subjective, opinion, fair, decision-making, dependent
judgment day	fast, swift, holy, religious, powerful
judicial	flexible, fair, impartial, legal, organized
judiciary	efficient, fair, organized, independent, impartial, lawful, transparent
jump shot	fast, height, distance, teamwork, vertical, speed
junction point	flexible, connects, location, point of interest, transportation, intersection, communication, public
junior high	flexible, age, age, grade, age, location
junior minister	political, government, age, position
junior school	flexible, age, size, location, age
junk	flexible, recyclable, collectible, household, waste, plastic, can be used for various purposes, can be found in various locations, can be used for decoration, can be used for entertainment, can be made from various materials, can be found in different sizes, can be used for various purposes, can be used for decoration, can be found in different locations, has a flat surface, can be used for storage, can be made from different materials, can be used for recreation, can be customized, can be used for work, can be found in different shapes, can be used for decoration, can be used for transportation, can be made from different materials, can be used for various purposes, can be stored, can be found in different colors, can be used for decoration, can be used for entertainment, can be made from various materials, can be used for transportation, can be small, can be used for decoration, can be used for various purposes, can be found in different locations, can be made from different materials, can be used for recreation, has a flat surface, can be used for work, can be folded, can be used for entertainment, can be found in different shapes, can be used for decoration, can be used for transportation, can be made from different materials, can be used for various purposes, can be used for storage, can be found in different sizes
junk bond	investment, fixed, tradable, risk, financial
junk food	flexible, nutritious, processed, tasty
junk mail	lightweight, recyclable, paper, bulk, large, unstructured, time-sensitive, seasonal, paper
junk science	flexible, opinion, misleading, logical, unpredictable, scientific
junk shot	short, small, large, round
junta	flexible, government, military, political, social
jury	flexible, impartial, diverse, collective, large, public
jury box	flexible, public, enforceable, transparent, historical
jury duty	flexible, legal, public, responsible, community
jury pool	flexible, diverse, random, temporary, legal, public
jury trial	flexible, impartial, trial, legal, public
juvenile	flexible, vulnerable, young, dependent, emotional
kai	flexible, intelligent, social, water
kate	flexible, intelligent, friendly, creative
kay	flexible, lightweight, water, versatile
kee	flexible, intelligent, social, small, large
keen	flexible, sharp, sharp, quick
keep	flexible, temporary, secure, time-sensitive, protective
kemp	flexible, intelligent, creative, loyal
ken	flexible, lightweight, durable, versatile
kick	flexible, fast, natural, powerful
kicking	flexible, fast, physical, recreational, round
kid	flexible, dependent, young, small, social
kid brother	flexible, small, young, age, size
kidnap	legal, illegal, crime, abuse, force, violence
kidney	flexible, vital, organ, small, complex
kidney failure	flexible, treatable, organ, temporary, chronic, life-threatening, permanent
kidney stone	flexible, organ, painful, small, treatable, medical
kid sister	flexible, small, young, age
kiev	flexible, cultural, historical, vegetarian, historical
kill	flexible, temporary, permanent, negative, permanent, harmful, violent
killing field	historical, outdoor, open space, natural
kindergarten	educational, age, social, age, size
kingdom come	fast, spiritual, vast, timeless, unique
kirk	educational, religious, building, historical, community
kiss	empathy, love, intimacy, communication
kitchen cabinet	flexible, adjustable, movable, storage, closet, made of wood, functional, organized
kitchen garden	location,organized,outdoor,garden,plant,cultivation,small,education,food
knee cap	flexible, round, bones, pain, mobility, small
knicks	flexible, small, round, sporting, team
knock	fast, loud, temporary, simple
knowledge management	scalability, data, organization, collaboration, information, information
knowledge worker	flexible, intelligent, creative, problem-solving, teamwork, communication
known	flexible, public, consistent, reliable, unique
kohl	flexible, applied, cosmetic, applied, natural
kremlin	flexible, historic, political, historic, architecture
kyle	flexible, friendly, intelligent, creative, young
lab coat	flexible, lightweight, breathable, durable, waterproof, professional
labor force	flexible, diverse, skilled, mobile, global
labor market	flexible, competitive, dynamic, diverse, global, regulated, local
labour camp	flexible, temporary, outdoor, education, government, incarceration, political
labour force	flexible, education, employment, gender, economic activity, work
lady friend	positive, female, emotional, social
lah	flexible, temporary, permanent, public, social
lake effect	flexible, natural, water, weather, recreational, seasonal, weather
lamb	fast, fur, gentle, herd, large
lambert	flexible, lightweight, smooth, square, rounded, small
lance	lightweight, sharp, flexible, long
landing gear	flexible, retractable, movable, fixed, collapsible, wheels, heavy
landing page	mobile, interactive, simple, informative, visually appealing, user-friendly
landing ship	flexible, large, ocean, transportation
landing strip	flexible, flat, long, wide, open
land line	flexible, reliable, fixed, communication, portable
land mine	flexible, mobile, dangerous, remote, underground, explosive
landslide victory	flexible, decisive, unexpected, sudden, sudden, large
land snail	fast, small, slow, shell
lang	educational, social, scientific, informative, creative
language barrier	communication, cultural, communication, understanding
language code	flexible, standardized, spoken, programming, international
lap	flexible, flat, small, circular
lap dance	physical, public, intimate, sensory, sexual
lap dog	flexible, small, affectionate, playful
lap record	fast, long, short, time
large	flexible, diverse, significant, size
laser gun	flexible, lightweight, energy, fire, small
laser surgery	flexible, minimizes, non-invasive, precision, medical
last	flexible, permanent, temporary, limited, indefinite, sequential, specific
late	flexible, time, consistent, punctual, reliable
latest	flexible, timely, current, modern, instant, recent, unique, fast
laugh	light,audible,social,communication,expression,physical
laughing	flexible, social, contagious, emotional, expressive
laugh track	lightweight,public,recreational,social,unified,volume
launch pad	fast, public, outdoor, large
launch party	fun, social, outdoor, formal, community
launch window	flexible, window, size, lightweight, automated, platform, user-friendly, water
laundering	flexible, clean, automatic, handheld, washes, clean, water
laura	flexible, intelligent, creative, kind, loyal
law clerk	flexible, legal, responsible, organized
lawn tennis	fast, outdoor, competitive, sport
law review	educational, legal, peer review, academic, online, open-source, public
law suit	flexible, legal, public, limited scope, judicial, accessibility, formal, government, protection
lay	fast, simple, smooth, flat, round, straight
leader board	public, competitive, social, real-time, online, interactive
lead guitar	flexible, versatile, musical, lightweight, playable, powerful
leading	flexible, coordinated, directional, motivating, teamwork, leadership
lead time	flexible, predictable, time-sensitive, variable
leaf spring	flexible, lightweight, durable, shock-absorbing, compact
league cup	sports, competition, national, international
league table	flexible, competitive, organized, public, international
leak	flexible, fluid, water, transparent, open
leaning	flexible, stable, lightweight, versatile
leap	flexible, bound, jump, distance, speed
leap day	flexible, irregular, 1, unique, annual, mythology, mythology, nature
leap second	flexible, short, time, unit of measurement, large, small
leap year	flexible, time, periodic, unique, annual, predictable
learning curve	flexible, scalable, continuous, challenging, complex, interactive, adaptable, fun
leave	flexible, temporary, outdoor, everlasting, natural
lecture hall	flexible, spacious, historic, well-lit, seating capacity, educational
lee	flexible, open, sheltered, natural, protection
left	flexible, common, opposite, directional, two, one, time, size
left bank	flexible, natural, right, opposite, water
leftist	flexible, open-minded, inclusive, social, political, progressive
legacy system	flexible, scalable, maintainable, secure, open source, enterprise, complex
legal aid	flexible, free, confidential, community, non-profit, advocacy, education
legendary	flexible, myth, myth, magical, timeless, unique, powerful
legislative	flexible, makes decisions, government, public, regulation, law
legitimacy	legal, recognized, authority, recognized, lawful, formal, government, power
leg press	exercise, strength, cardiovascular, weight
leg side	flexible, lightweight, symmetrical, round, versatile
leigh	flexible, lightweight, compact, tall, small, flat
lemon	flexible, sour, juicy, citrus, fruit
lens board	flexible, transparent, flat, lightweight, small
leone	flexible, agile, strong, intelligent, social
les	flexible, temporary, annual, evergreen, plant, seasonal, outdoor
lesbian	flexible, open, inclusive, diverse, social
lesser	flexible, small, limited, few, large
lesson	flexible, interactive, educational, online, group, open
lesson plan	flexible, educational, open-ended, collaborative, structured, well-organized, interactive
let	flexible, allows for creativity, temporary, allows for multiple uses, can be used for various purposes, can be used for entertainment, can be used for work, can be made from various materials, can be used for decoration, can be found in various locations, can be used for transportation, can be customized, has a flat surface, can be used for artistic expression, can be used for personal use, can be used for transportation, can be stored, can be used for various purposes, can be made from different materials, can be used for recreational purposes, can be used for work, can be found in various locations, can be used for therapy, can be used for decoration, can be used for self-defense, can be used for recreation, can be used for personal protection, can be used for professional purposes, can be used for entertainment, can be used for self-care, can be used for education, can be used for therapy, can be used for business, can be used for self-defense, can be used for decoration, can be used for transportation, can be made from various materials, can be used for various purposes, can be used for work, has a small size, can be used for personal use, can be used for entertainment, can be used for therapy, can be used for travel, can be used for recreation, can be used for self-defense, can be used for decoration, can be used for transportation, can be used for various purposes, can be used for work, can be found in various locations, can be used for personal protection, can be used for entertainment, can be used for education, can be used for self-care, can be used for socializing, can be used for small size, can be used for therapy, can be used for personal protection, can be used for work, has a wide range, can be used for various purposes, can be used for entertainment, can be used for transportation, can be used for personal use, can be used for self-defense, can be used for decoration, can be used for education, can be used for recreation, can be used for socializing, can be used for therapy, can be used for travel, can be used for work, can be used for various purposes, can be used for business, can be used for self-defense, can be used for small size, can be used for personal protection, can be used for transportation, has a flat surface, can be used for artistic expression, can be used for personal protection, can be used for entertainment, can be used for education, can be used for therapy, can be used for recreation, can be used for socializing, can be used for various purposes, can be used for work, can be used for self-defense, can be used for decoration, can be used for transportation, can be used for personal use, can be used for entertainment, has a wide range, can be used for work, can be used for various purposes, can be used for business, can be used for self-defense, can be used for small size, can be used for personal protection, can be used for transportation, can be used for therapy, can be used for education, can be used for recreation, can be used for socializing, can be used for different purposes, can be used for entertainment, can be used for personal protection, can be used for work, can be used for various purposes, has a flat surface, can be used for artistic expression, can be used for personal use, can be used for self-defense, can be used for transportation, can be used for work, can be used for decoration, can be used for therapy, can be used for recreation, can be used for socializing, can be used for various purposes, can be used for business, can be used for self-defense, can be used for small size, can be used for personal protection, can be used for entertainment, can be used for education, can be used for therapy, can be used for travel, can be used for work, has a wide range, can be used for different purposes, can be used for personal use, can be used for self-defense, can be used for decoration, can be used for transportation, can be used for work, can be used for various purposes, can be used for artistic expression, can be used for entertainment, can be used for personal protection, can be used for recreation, can be used for socializing, can be used for small size, can be used for therapy, can be used for work, can be
lethal	flexible, harmful, dangerous, deadly, powerful
letter bomb	flexible, dangerous, mail, small, transportable
letter box	flexible, secure, large, small, private
letter carrier	flexible, local, mail, physical, public
letter grade	flexible, grading, numerical, standardized, formal, educational
letter patent	legal, government, official, written
letting	flexible, temporary, outdoor, free, time-sensitive, open, space
leverage	flexible, powerful, scalable, versatile, small
levin	flexible, large, small, round, soft
levy	legal, taxes, taxes, government, financial, money
lewis	flexible, small, intelligent, social
liability insurance	legal, financial, coverage, protection
liberal	flexible, open-minded, tolerant, independent, fair, inclusive, political
liberty	flexible, freedom, limited, limitless, protection, government, history, society
library assistant	flexible, organized, knowledgeable, helpful, multilingual
library catalog	educational, organized, searchable, publicly accessible, digital
library science	educational, research, information, knowledge, public
license plate	flexible, legal, personalized, metal, rectangular, government, automotive, plate, number, identification
lie	truth, false, deception, secrecy, trustworthiness, communication, consequence, psychology, ethics, honesty
lied	flexible, false, dishonest, hidden, story, communication
lien	legal, financial, government, debt, real estate, security
lieutenant commander	flexible, leader, responsible, responsible
life assurance	flexible, financial, medical, insurance
life cycle	flexible, temporary, cyclical, dynamic, diverse, ever-changing, predictable, circular, continuous
life force	flexible, spiritual, breath, consciousness, energy
life history	flexible, dynamic, ever-changing, diverse, complex, timely, predictable, personalized, social
life jacket	flexible, water, breathing, inflatable, buoyant, safety
life peer	flexible, social, beneficial, independent, respectful, wise
life ring	flexible, buoyant, water, circular, size
life savings	flexible, limited, dependent, financial, investment, precious, risk
life science	flexible, scientific, dynamic, living, interdisciplinary, biology, natural
life sentence	flexible, punishment, length, time, legal
life span	flexible, temporary, permanent, predictable, immutable, social
life story	personal, emotional, unique, historical, creative
life style	flexible, cultural, social, personalized, global
life support	flexible, automated, breathing, medical, systematic, technology
lift	light, portable, vertical, automated, lifting, heavy
lifting	flexible, lightweight, repetitive, weight, strength
lighter	flexible, portable, lightweight, waterproof, compact
light infantry	flexible, mobile, armor, small, agile
light railway	fast, transportation, train, public, small
light source	flexible, portable, bright, energy-efficient, wireless
lightweight	flexible, portable, durable, inexpensive, compact
like	flexible, common, simple, social
likelihood	flexible, predictable, measurable, mathematical, probability
limited partnership	flexible, legal, partnership, liability, management, ownership
limit point	flexible, fixed, finite, unlimited, infinite, time-based, specific, unique
lin	flexible, versatile, lightweight, durable
line art	flexible, two-dimensional, geometric, simple, colorful, digital
line break	flexible, continuous, linear, sequential, sharp, irregular, curved, straight
line dancing	social,healthy,teamwork,fun
line drive	flexible, fast, straight, short, long
line item	flexible, finite, specific, limited, quantitative, descriptive, measurable
line judge	objective, neutral, responsible, decisive, professional
line segment	flexible, straight, continuous, one, two, three, geometric, length
lineup	flexible, organized, group, sequence, long-term, open
link exchange	educational, mutual, online, social
link farm	public,outdoor,social,sports,location
lionel	flexible, intelligent, social, large
liquid air	flexible, weight, transparent, temperature
liquid crystal	flexible, transparent, reflective, lightweight, portable
liquidity	flexible, market, flow, investment, financial, transparent
liquor store	flexible, limited, local, small, legal
listening post	communication, location, security
list price	flexible, public, standard, negotiable, variable, consistent, transparent
lit	flexible, bright, large, small, glowing, shiny, lightweight
little boy	flexible, energetic, small, young
little brother	flexible, small, young, protective, emotional
little girl	flexible, small, young, cute, age
live action	fast, dynamic, real-time, interactive, interactive, 3D, fiction, film
live blog	real-time, interactive, multimedia, online, text
lively	fast, energetic, active, social
liver	flexible, digestive, organ, function, medical
liver bird	flexible, social, intelligent, flight, bird
lives	flexible, temporary, social, emotional, permanent
living fossil	scientific, animal, rare, unique, historical, timeless, immortal, small
living hell	flexible, open-ended, hell, dangerous, unpredictable
living room	flexible, social, comfortable, decorative
living standard	flexible, affordable, accessible, measurable, standardized, sustainable
living tissue	flexible, breaths, organic, organic, biodegradable, grows, can be used for various purposes, can be found in different locations, can be used for decoration, can be used for various purposes, can be used for entertainment, can be used for storage, can be used for medical purposes, can be used for creative expression, can be made from various materials, can be used for transportation, can be used for scientific research, can be used for recreation, can be used for decoration, can be used for therapy, can be used for communication, can be used for work, can be used for self-defense, can be used for transportation, can be used for personal protection, can be used for protection, can be used for recreation, can be used for therapy, can be used for medical purposes, can be used for decoration, can be used for entertainment, can be used for education, can be used for communication, can be used for self-defense, can be used for transportation, has a flat surface, can be used for various purposes, can be used for self-defense, can be used for decoration, can be used for therapy, can be used for entertainment, can be used for work, can be used for protection, can be used for personal protection, can be used for recreation, can be used for social purposes, can be used for transportation, can be used for storage, can be used for various purposes, can be used for communication, can be used for medical purposes, can be used for protection, has a specific shape, can be used for work, can be used for recreation, can be used for therapy, can be used for self-defense, can be used for education, can be used for decoration, can be used for entertainment, can be used for personal protection, can be used for transportation, can be used for various purposes, can be used for communication, can be used for social purposes, can be used for self-defense, can be used for storage, can be used for transportation, can be used for various purposes, can be used for work, has a small size, can be used for decoration, can be used for entertainment, can be used for therapy, can be used for medical purposes, can be used for protection, can be used for recreation, can be used for self-defense, can be used for education, can be used for communication, can be used for personal protection, can be used for social purposes, can be used for storage, can be used for transportation, can be used for various purposes, has a unique shape, can be used for work, can be used for decoration, can be used for entertainment, can be used for therapy, can be used for medical purposes, can be used for protection, can be used for recreation, can be used for self-defense, can be used for education, can be used for communication, can be used for personal protection, can be used for transportation, can be used for various purposes, can be used for work, has a specific shape, can be used for entertainment, can be used for therapy, can be used for self-defense, can be used for storage, can be used for transportation, can be used for social purposes, can be used for personal protection, can be used for protection, can be used for recreation, can be used for various purposes, can be used for work, has a small size, can be used for decoration, can be used for education, can be used for communication, can be used for personal protection, can be used for transportation, can be used for therapy, can be used for medical purposes, can be used for self-defense, can be used for storage, can be used for entertainment, can be used for various purposes, can be used for work, can be used for transportation, can be used for social purposes, can be used for personal protection, can be used for protection, can be used for recreation, can be used for self-defense, has a unique shape, can be used for work, can be used for decoration, can be used for education, can be used for communication, can be used for medical purposes, can be used for protection, can be used for storage, can be used for transportation, can be used for various purposes, can be used for work, can be used for self-defense, can be used for entertainment, can be used for therapy, can be used for personal protection, can be used for recreation, can be used for social purposes, can be used for work, has a flat surface, can be used for various purposes
load	flexible, heavy, carries, lightweight, transportation
loading	fast, automated, time-sensitive, large, heavy
load time	fast, instant, time, size, speed
loan shark	flexible, legal, debt, financial, risk
loan translation	financial, legal, language, mathematical, real-time, technical
loan word	flexible, borrowing, language, origin, communication, cultural, historical, linguistics, meaning
lobby	public, open, accessible, social, spacious
local	flexible, community, geographical location, specific, cultural, global
lodge	flexible, communal, wooden, comfortable, rustic, spacious
logan	flexible, lightweight, tree, deciduous, wood
logging	flexible, fast, automated, outdoor, natural
logic board	flexible, electronic, flat, small, rectangular
logic bomb	flexible, dangerous, digital, stealthy, anonymous, remote
long	flexible, lightweight, straight, length, height, width
long division	flexible, mental, mathematical, simple, step-by-step, time-consuming, versatile
long tail	flexible, scalable, versatile, large, small
looking	flexible, fast, round, visual, emotional
looking glass	light, reflective, transparent, shiny, round
loose	flexible, free, open, soft, relaxing, open
looting	legal, theft, violence, property
losing	flexible, temporary, negative, emotional, change
losing streak	flexible, continuous, unpredictable, long-term, temporary, regular, sequential, consistent
loss leader	flexible, limited, limited, inexpensive, free
lottery ticket	flexible, unique, limited, random, legal
lounge music	light, relaxation, smooth, soft, slow
love affair	romance, emotional, passion, intimacy, relationship
love bite	flexible, temporary, sharp, small, emotional
love child	positive, dependent, emotional, unexpected, family
love egg	flexible, edible, round, nutritious, social
love game	social, interactive, emotional
love hotel	romantic, luxurious, intimate, private, clean
love letter	flexible, emotional, personal, romantic, heart, written
love life	flexible, positive, emotional, social
lovely	flexible, positive, beautiful, warm
love nest	private, small, cozy, comfortable, spacious
love triangle	flexible, complex, emotional, complex
loving	empathy, compassionate, caring, understanding, supportive
low	flexible, slow, small, medium, large
lowe	flexible, affordable, compact, durable, versatile
lowering	flexible, temporary, temporary, natural, slow
luck	flexible, unpredictable, random, positive, chance
lucy	flexible, intelligent, social, small
lunch box	flexible, reusable, personalized, portable, eco-friendly, insulated, waterproof
lunch lady	flexible, friendly, helpful, responsible
lung	flexible, vital, breathing, organ, medical
lung cancer	treatment, medical, cancer, symptoms, causes, type, causes, diagnosis, prevention, causes, causes, location, therapy, age, size, type of business, disease, medical
lure	flexible, attractive, seductive, irresistible, dangerous
luxury tax	legal, taxes, government, revenue, public, taxation, wealth
lyrics	educational, creative, emotional, abstract
mac	flexible, sweet, nutritious, crunchy, delicious
machine code	flexible, digital, binary, compact, interpretable, universal, hidden, automated, scalable, simple
machine language	efficient, digital, automated, natural language, programming, artificial intelligence, data
machine learning	flexible, scalable, automated, predictive, data-driven, intelligent, algorithms, algorithms, artificial intelligence
machine pistol	fast, lightweight, automatic, small, firearm, handheld, semi-automatic, versatile
machine room	flexible, automated, climate-controlled, accessible, large
machines	flexible, automated, digital, large, small
machine shop	flexible, customizable, automated, small, manual
machine translation	fast, automated, real-time, language, translation, software, text
mack	flexible, agile, intelligent, social
mad cow	scientific, disease, animal
madeleine	flexible, small, round, delicious
mad man	flexible, intelligent, agile, emotional, unpredictable
mad money	flexible, unique, limited, limited, temporary, money
madonna	positive, fashion, music, religion, cultural significance
magic eye	flexible, round, colorful, unique, circular, mysterious
magic square	mathematical, symmetry, geometric, square
mail bomb	flexible, dangerous, large, secretive, stealthy, small
mail carrier	flexible, reliable, physical, transportation, outdoor, public
mail fraud	flexible, illegal, online, real-time, serious, stealthy, united states, universal
mail order	flexible, online, secure, convenient, delivery, delivery
mail train	fast, transportation, train, transportation
mail truck	fast, large, lightweight, transportation
main stage	flexible, large, outdoor, large
mainstream america	diverse, inclusive, large, large
major	flexible, permanent, general, large
majority decision	flexible, collective, democratic, consensus, decision-making, voting, group
majority rule	flexible, democratic, fair, equal, simple
makeup	flexible, cosmetic, creative, colorful, applies to, natural
malaria	treatable, infectious, curable, airborne, vector, prevention, disease, tropical
mali	flexible, diverse, peaceful, cultural, agricultural, beautiful
ma ma	flexible, lightweight, round, soft, short
man cave	private, social, functional, relaxation, recreational, space
manchester	flexible, cultural, historical, sports, urban
mandate	legal, authority, government, power, requirement, obligation, duty, responsibility
mandatory	legal, required, obligatory, compulsory, compulsory, necessary, voluntary, regulated, enforced, lawful, forced, necessary
manila	flexible, durable, lightweight, paper, waterproof, natural
man page	flexible, informative, online, text-based, short, user-friendly
manual labour	flexible, physical, physical, repetitive, skilled, social
manual transmission	flexible, mechanical, gears, automated, 2-4, handheld, smooth, gear, size
map room	flexible, open, public, large
marc	flexible, digital, unique, searchable, open source, public
marching	fast, organized, military, step, coordinated, outdoor
marching band	musical, performance, instrumental, entertainment, teamwork
margin	flexible, digital, width, size, measurement
margin call	financial, investment, risk management, communication, trading, security
maria	fast, beautiful, musical, intelligent
marijuana	legal, plant, recreational, medical, illegal
marine biology	educational, scientific, research, ecological, social
marine corps	flexible, combat, military, discipline
marine infantry	flexible, combat, specialized, ground, training, operations, size
maritime law	legal, international, government, transportation
market basket	round, fruit, vegetables, reusable, lightweight, fabric, organic, handheld, basket, fruit
market day	flexible, local, outdoor, seasonal, social
market discipline	flexible, transparent, self-regulating, risk management, competition, monetary, global
market economy	flexible, decentralized, free, global, limited, competitive, consumer, private
market garden	location, outdoor, fruits, vegetables, garden
marketing research	flexible, quantifiable, qualitative, research, targeted, data-driven, marketing, analytics, consumer behavior, consumer, business
market maker	flexible, transparent, independent, liquid, regulated, responsive
market opening	flexible, public, seasonal, time-sensitive, trading, variable
market order	flexible, liquid, public, limited, automated, dynamic
market price	flexible, dynamic, dependent, limited, public, standardized, negotiable, volatile, consistent
market risk	flexible, dynamic, diversified, volatile, liquidity, risk management, investment, financial
market share	flexible, measurable, scalable, competitive, publicly available, large
market square	public, outdoor, open, historic, central
marriage certificate	legal, official, public, binding, document, government
marriage equality	legal, same, rights, love, equality
married	legal, social, permanent, gender, commitment, emotional
marsh	flexible, wet, flat, open, grassy, ecosystem, wild
marshall	flexible, protective, intelligent, efficient, formal
mart	flexible, public, open, outdoor, indoor, social
martial law	flexible, legal, government, law, military
martin	flexible, social, lightweight, nocturnal, small
marvel	flexible, iconic, imaginative, cultural, unique, timeless, creative
mary	flexible, religious, female, famous, historical, social
mass burial	quick, open, public, large
mass destruction	instant, destructive, global, violent
mass funeral	large, cultural, public, religious, historical
