person	 male or female 
profit margin	 ratios 
profit sharing	 sharing 
profit taking	 taking 
profit warning	 indications 
profound	 deep 
program guide	 used for watching television 
progress bar	 used for displaying progress 
progressive	 types of music 
prohibition	 restrictions 
project engineer	 engineer 
project manager	 roles in a software development process 
prominence	 importance 
promised land	 land 
prompt	 indications 
proof system	 systems 
prop	 essential for magic shows 
property tax	 tax 
prosperity	 conditions 
prostate	 male genital organs 
protein shake	 used for exercise 
protesters	 protesters 
protests	 expression 
providence	 fortune 
provincial	 types of government 
proving ground	 essential for space exploration 
provisional	 temporary 
provocative	 causes a desire to sexs 
pro wrestling	 types of sports 
public access	 access 
public domain	 intellectual properties 
public enemy	 famous for 
public finance	 finance 
public health	 health 
public housing	 housing 
public interest	 interest 
publicity	 advertising 
public key	 parts of cryptography 
public law	 law 
public life	 life 
public opinion	 opinion 
public record	 information 
puck	 used for ice hockey 
pull	 causes a desire to plays 
pullout	 types of beds 
pump room	 located in a swimming pool 
punch bowl	 used for serving drinks 
punch card	 used for data storage 
punch line	 parts of a joke 
punch list	 lists 
punk music	 music genres 
purchase order	 used for business 
purchase price	 prices 
purchasing power	 money 
pure air	 located in forests 
purple	 shades of color 
purple heart	 awards for military service 
purse	 bags for carrying items 
push	 forces 
push poll	 poll 
put	 part of tennis 
putt	 strokes in golf 
quake	 types of natural disasters 
qualifier	 part of a logic system 
quality control	 quality control 
quality time	 time 
quantum	 levels 
quantum computer	 computer 
quantum state	 quantum mechanical states 
quantum theory	 physics 
quarantine	 isolation 
quarter day	 one of four days in a week 
quarterfinal	 round 
quarter final	 round of tennis tournament 
quarter horse	 types of horses 
quarter note	 time signatures 
queen bee	 found in a beehive 
queen mother	 princess 
questioning	 inquiry 
question mark	 punctuation marks 
question period	 periods 
quick	 short for quicksilver 
quiet	 types of noise 
quota	 limits 
race card	 used for gambling 
race condition	 condition 
race meeting	 meeting 
racist	 unpleasant 
radar gun	 used for speed enforcement 
radar image	 images 
radiation pressure	 pressure 
radiation therapy	 therapy 
radio clock	 used for keeping time 
radio collar	 used for tracking animals 
radio control	 control 
radio silence	 silence 
radio source	 sources of electromagnetic radiation 
radio tower	 part of a radio station 
radio wave	 electromagnetic radiation 
rah	 unhappy 
rail car	 used for transporting goods 
railroad car	 types of railroad equipment 
railroad tie	 part of a railroad track 
rail track	 used for transportation infrastructure 
railway train	 vehicles used for transportation 
rainbow bridge	 found in the sky 
rainbow coalition	 abbreviated to rc 
rainbow party	 dance 
rainbow table	 a table 
rain cloud	 clouds 
rain delay	 delay 
rainfall	 rain 
rain forest	 types of forests 
rain man	 films 
rain shadow	 shadows 
rain tree	 found in the rainforest 
rainy day	 cloudy 
ran	 types of fast food 
random	 unpredictable 
random access	 access 
randy	 randy 
ransom	 financial transactions 
rap	 types of music 
rape culture	 culture 
rapid	 types of river flow 
rapid transit	 types of transportation 
rap music	 types of music 
rare earth	 metals 
ratification	 approval 
rational	 types of thinking 
rat king	 located in parking lots 
rat race	 hustle 
raw	 cooking methods 
raw material	 materials 
ray gun	 used for space exploration 
reaction engine	 engine 
reaction mechanism	 mechanisms 
reaction mixture	 mixture 
reaction time	 time 
read	 cause a desire to writes 
reading frame	 frame 
real	 types of numbers 
real capital	 capital 
reality check	 checks 
real life	 more real than movies 
real time	 time 
real world	 different from virtual world 
rear	 parts of a car 
rear window	 car parts 
rebound	 return 
rebuild	 part of repairing 
recall	 recollection 
reception center	 located in hospitals 
reception desk	 used for hotel check-in 
recess	 time off 
reconciliation	 reconciliation 
record deal	 deals 
record player	 music equipment 
recount	 tell 
recovery position	 essential for first aid 
recruit	 military ranks 
recruitment	 human resources 
recycling	 waste management 
red cap	 associated with baseball 
red car	 red 
red carpet	 associated with movie industry 
red coat	 types of winter coats 
red deer	 mammals 
red dog	 dogs 
red flag	 indications 
red fox	 found in forests 
red giant	 types of stars 
red guard	 cadets 
red hair	 hair color 
red hot	 very hot 
red light	 light 
red line	 lines 
red lion	 types of hotels 
red maple	 found in the northeastern united states 
red meat	 types of meat 
red mercury	 mercury 
red pepper	 spicy 
red state	 political terms 
ree	 part of a chess set 
reed	 part of a flute 
reference implementation	 abbreviated to rie 
reference list	 part of a research project 
reference point	 point 
refuse	 located in trash cans 
regime change	 political events 
regional	 types of cuisine 
region code	 codes 
registered mail	 mail 
register office	 government offices 
regret	 emotion 
rehabilitation	 therapy 
rejection letter	 letters 
rejects	 rejects 
relay race	 track and field events 
release candidate	 software development stages 
releases	 endings 
relegation	 transfer 
relegation zone	 zones 
reliability	 characteristics of a good watch 
relief map	 types of maps 
relief worker	 workers 
religious education	 education 
reluctance	 hesitation 
remain	 remainders 
remark	 notice 
reminder	 information 
reminiscent	 similar to nostalgic 
remote	 used for controlling electronic devices 
remote control	 used for watching television 
renaissance man	 intellectual 
renewable	 sources of energy 
reno	 north of las vegas 
rent	 payments 
rental	 types of property ownership 
repeal	 cancellation 
repeat	 same as copy 
replay	 repeats 
reply	 communication 
report card	 types of school documents 
representative democracy	 democracy 
repression	 cause mental illness 
reproductive	 types of cells 
reproductive health	 health 
request	 communication 
rescue dog	 types of dogs 
rescue mission	 safety measures 
research paper	 types of written work 
resentment	 feelings 
reserve currency	 currency 
residence permit	 types of identification documents 
resistant	 types of bacterial infections 
resolve	 tracts 
resorts	 located in beachs 
respond	 react 
response time	 time intervals 
rest area	 places for resting 
restart	 beginnings 
rest home	 places to live 
resting	 cause sleep 
rest mass	 mass 
restore	 actions 
restructuring	 reorganization 
resume	 used for job hunting 
resumption	 startings 
retaliation	 replies 
return pass	 pass 
return spring	 parts of a spring 
return ticket	 essential for traveling 
reunification	 reunifications 
reunion	 meet 
reveal	 disclosure 
revenge	 human emotions 
rhythm guitar	 guitar 
rhythm method	 birth control 
ribbon	 used for decoration 
rice ball	 italian dishes 
rice flour	 flour 
rice milk	 plant-based milk alternatives 
rice paper	 used for making sushi 
rice rat	 rodents 
rick	 rich 
riding	 motivated by the goal of fun 
rifle range	 used for shooting 
rift	 dividing lines 
rift valley	 geological formations 
right bank	 bank 
right whale	 found in the arctic 
rim	 part of a basketball court 
ring finger	 fingers on a hand 
ringgit	 money 
ring road	 roads 
ring tone	 sound 
riot gear	 essential for riot control 
rioting	 cause chaos 
riot police	 police 
riots	 crowds 
rising star	 types of stars 
risk appetite	 risk tolerance 
risk assessment	 assessment 
risk management	 management 
risk tolerance	 tolerance 
ritual abuse	 abuse 
river bank	 types of geographic features 
river basin	 geographic features 
river rat	 aquatic animals 
riverside	 types of shorelines 
road accident	 accidents 
road game	 game 
roadmap	 used for navigation 
road map	 used for navigation 
road rage	 driving 
roadside	 types of terrain 
roadside bomb	 bombs 
road sign	 used for navigation 
road train	 trucks 
road trip	 types of travel 
road warrior	 one type of traveler 
road work	 road construction 
robin	 birds 
roc	 cultivated in southwest asia 
rock bottom	 bottom 
rock candy	 crystal 
rock climbing	 outdoor activities 
rock crystal	 crystal 
rocket car	 types of vehicles 
rocket motor	 types of motors 
rocket science	 science 
rocket ship	 aircraft 
rock face	 types of terrain 
rock salt	 salt 
rock star	 related to music 
rock steady	 steady 
rod cell	 sensory cells 
rode	 located in fairgrounds 
rodham	 abbreviation for rosemary 
role model	 advisors 
role player	 actors 
roll call	 calls 
roller hockey	 sports 
rolling stock	 rail transport 
rolling stone	 types of music 
romano	 italian cheese 
romantic	 types of music 
room service	 services offered by hotels 
room temperature	 temperature 
root beer	 carbonated 
root canal	 procedures 
root cause	 cause 
root hair	 hairs 
root word	 part of word 
rosa	 pastel colors 
rose garden	 types of gardens 
rose gold	 gold 
rose oil	 essential oils 
rose water	 floral 
rose window	 found in cathedrals 
rotation period	 time period 
rouge	 types of makeup 
rough	 textures of fabrics 
rough trade	 books 
round robin	 types of chess tournaments 
round table	 types of tables 
round top	 types of roofs 
round trip	 types of travel arrangements 
roundup	 chemicals 
routine	 patterns 
row house	 types of houses 
royal blue	 blue 
royal household	 bureaucracy 
royal tennis	 tennis 
rubber bullet	 used for paintball 
rubber match	 used for playing games 
rubber tree	 found in the rainforest 
rubin	 red 
ruby	 types of gemstone 
rudd	 fish 
rudy	 nuts 
rugby football	 types of football 
rulers	 located in desks 
runaway	 types of trains 
run chase	 chase 
running man	 one of many poses in yoga 
running mate	 associated with elections 
running shoe	 used for running 
runoff	 water flow 
run out	 bad 
run rate	 rates 
run time	 time 
runway	 part of an airport 
runway model	 related to fashion 
rupiah	 currency 
rush hour	 time periods 
ruth	 different from marge 
ryder	 nuts 
sacrifice fly	 fly balls 
safe	 used for storing valuables 
safe harbor	 safety 
safe mode	 modes 
safer	 better 
safety belt	 part of a car's safety features 
safety car	 used in motorsports 
safety glass	 used for protecting eyes 
safety helmet	 essential for construction work 
safety net	 used for circus performance 
safety pin	 used for sewing and repair 
sake	 japanese beverages 
salad bar	 used for serving food 
salary cap	 restrictions 
sale price	 prices 
sally	 cute 
salmon	 commonly consumed fish 
salt dome	 dome 
salt flat	 salt 
salt marsh	 wetlands 
salt water	 waters 
salvage	 recovery 
salvation	 concepts in theology 
sam	 nuts 
sample mean	 mean 
sample space	 set 
sampling	 taking 
san	 types of bathing 
sand bar	 found in a river 
sand dollar	 found on the beach 
sand martin	 birds 
sand storm	 storms 
sanitation	 facilities 
sat	 types of television 
satellite campus	 campus 
satellite dish	 used for receiving television signals 
satellite phone	 communication devices 
savage	 wild 
save	 financial terms 
saving	 saving 
saving grace	 films 
savings account	 savings options 
say	 true 
saying	 causes a desire to smokes 
scan	 examinations 
scare	 cause a desire to runs 
scenic	 types of natural landscapes 
schedule	 organizers 
school band	 musical ensembles 
school book	 part of a student's kit 
school bus	 yellow in color 
school class	 types of learning environments 
school mate	 more intelligent than school teacher 
school trip	 types of trips 
school uniform	 part of a school day setup 
school year	 years 
science fair	 fair 
science park	 types of theme parks 
score sheet	 used for playing chess 
scoring	 part of darts 
scouting	 cause a desire to scout 
screen capture	 part of computer setup 
screen door	 doors 
screening room	 used for watching movies 
screen name	 identifiers 
screen printing	 printing 
screens	 used for displays 
screen test	 tests 
screen time	 time 
script editor	 editor 
scrutiny	 looks 
sea anchor	 used for sailing 
sea bass	 seafood 
sea bed	 bed 
sea bird	 found in the ocean 
sea change	 change 
sea devil	 fish 
sea dog	 found in the sea 
sea dragon	 found in the ocean 
sea eagle	 birds 
sea horse	 found in the ocean 
sea ice	 located in oceans 
sea king	 birds 
sea lane	 located in ocean 
sea lion	 found in the ocean 
seal script	 calligraphy 
sea mouse	 found in the ocean 
search box	 part of a search engine 
searching	 cause a desire to hides 
search party	 part of a search and rescue team 
search term	 terms 
search warrant	 warrants 
sea salt	 salt 
seaside	 types of vacation spots 
sea snake	 found in the ocean 
season ticket	 types of tickets 
sea spider	 sea creatures 
sea star	 found in the ocean 
seat belt	 safety measures in a car 
seating	 used for resting 
sea trial	 trial 
sea wall	 types of coastal structures 
sea water	 water 
sea wolf	 novel 
sec	 one of many religions 
secondary	 levels of education 
second coming	 one of many religious doctrines 
second home	 types of homes 
secretary bird	 found in africa 
sectarian	 religious 
security blanket	 essential for infants 
security camera	 types of security devices 
security community	 community 
security deposit	 deposits 
security hole	 holes 
security interest	 security 
security procedure	 procedures 
security theater	 security 
seed cake	 cake 
seed coat	 parts of a seed 
seed money	 investment 
self control	 control 
sell	 transactions 
selling point	 point 
selling price	 prices 
semifinal	 part of a tournament 
seminar	 types of educational institutions 
sen	 sugar 
senate	 government bodies 
send	 messages 
senior citizen	 elderly 
sense organ	 organs 
sensitive	 emotional 
sent	 located in internet 
sentencing	 penalties 
separate	 distinct 
sergeant major	 military ranks 
serial port	 used for communication 
series circuit	 circuit 
serve	 tennis strokes 
service agreement	 agreement 
service charge	 charges 
service dog	 types of dogs 
service game	 one of tennis game types 
service industry	 industries 
service line	 part of a plumbing system 
services	 organizations 
serving	 dishs 
setback	 failure 
set list	 used for performing music 
set piece	 part of a theatrical production 
set point	 point 
settle	 used for sitting or lying 
settlement agreement	 legal documents 
settling	 dust 
sex aid	 used for sexual pleasure 
sex appeal	 appeal 
sex bomb	 types of pornography 
sex cell	 reproductive cells 
sex change	 transformation 
sex drive	 drives 
sex education	 education 
sex life	 life 
sex object	 sexual objects 
sex organ	 body parts 
sex partner	 part of sex 
sex party	 part of sexual life 
sex ratio	 ratios 
sex scene	 video game genres 
sex shop	 types of stores 
sex slave	  abusive
sadistic 
sex symbol	 symbol 
sex tape	 sexual content 
sex therapy	 therapy 
sex tourism	 tourism 
sexual	 types of relationships 
sexual assault	 criminal acts 
sex work	 work 
sex worker	 workers 
shadow banking	 banking 
shadow government	 government 
shadow minister	 political positions 
shadow play	 types of puppetry 
shaft	 components of a drill 
shah	 types of rulers 
shake	 drinks 
shallow	 types of water bodies 
shame	 emotional states 
shanghai	 cities in china 
sharif	 title 
shark attack	 attacks 
sharp	 types of knives 
shaw	 used for covering furniture 
sheer	 types of fabric 
sheet metal	 types of materials used for construction 
sheet music	 used for playing music 
sheik	 found in middle east 
shelf life	 time 
shell game	 games 
shelling	 firing 
shell script	 types of programming language 
shell shock	 shock 
shield law	 law 
shifting	 cause a desire to smokes 
shift key	 used for typing 
shin	 parts of the leg 
shine	 used for cleaning floors 
shipment	 movement 
ship rat	 rat 
shock	 diseases 
shock therapy	 medicine 
shock troop	 troops 
shock wave	 waves 
shoe box	 used for storing clothing 
shoe shop	 used for footwear 
shoe tree	 used for organizing and displaying shoes 
shook	 moved 
shooting gallery	 used for shooting 
shooting range	 used for firearms training 
shooting star	 found in the night sky 
shop assistant	 retail employees 
shop floor	 areas in a factory 
shopping bag	 for carrying items 
shopping basket	 used for shopping 
shopping cart	 used for carrying items 
shopping list	 used for grocery shopping 
shop window	 used for displaying items for sale 
short	 lengths of hair 
shortage	 differences 
short circuit	 electrical faults 
shorter	 shorter than taller 
shortfall	 deficiencies 
short sale	 sale 
shot clock	 used for playing basketball 
shot glass	 drinking vessels 
shot put	 track and field events 
shot tower	 used for making bullets 
shoulder bag	 types of bags 
shoulder joint	 joints in the human body 
shouting	 cause fear 
showdown	 part of a western movie 
shower head	 used for water flow 
show globe	 used for astronomy 
showing	 indications 
show jumper	 horseback riding disciplines 
show trial	 trial 
shrimp	 seafood 
shrink	 shrink 
shut	 open 
shutdown	 computer functions 
shutout	 types of sports games 
shuttle bus	 types of buses 
shuttle diplomacy	 diplomacy 
shy	 quiet 
sick	 causes a desire to rests 
side chain	 chemical compounds 
side issue	 issue 
sideline	 positions 
sidelines	 part of football games 
side order	 side dishes 
sides	 part of bodies 
side show	 shows 
side street	 types of streets 
side wall	 part of a building 
siege engine	 used for warfare 
siege warfare	 warfare 
siege weapon	 used for warfare 
siemens	 electronic companies 
sierra	 mountain ranges 
signal box	 railway infrastructure 
signaling	 communication 
significant	 levels of importance 
signing	 cause signing 
signing bonus	 bonus 
silent	 types of movies 
silicon	 materials used in electronics 
silicon chip	 made of silicon 
silly	 types of comedy 
silva	 scientists 
silver age	 age 
silver ball	 used for darts 
silver bullet	 types of ammunition 
silver dollar	 coins 
silver fox	 fur 
silver lining	 located in clouds 
silver medal	 medal colors 
silver screen	 part of movie theater 
simon	 name 
sin bin	 used for rugby 
sing	 causes a desire to dances 
singers	 performers 
singing bowl	 used for meditation 
singing voice	 voice types 
single	 types of relationships 
sir	 types of formal address 
sister city	 twin city 
sister ship	 related to shipbuilding 
sit	 cause a desire to sleep 
site map	 part of a web development project 
sitting	 cause back pain 
six	 one more than five 
sixth form	 educational institutions 
sixth grade	 grades of school 
sixth sense	 sense 
skate park	 places for exercise 
skepticism	 doubts 
ski jump	 sports facilities 
ski jumping	 sports 
ski lift	 for skiing 
skill set	 components of a workforce 
skin cancer	 cancer 
skin color	 color 
skin colour	 color 
skin effect	 effects 
skin tag	 medical conditions 
skip	 moves in a dance 
skull	 bones of the human body 
slain	 killed 
slalom	 types of alpine skiing 
slam	 hits 
slap	 types of physical violence 
slash	 symbols 
slaughter	 killing 
slave labour	 labor 
slave trade	 trade 
slaying	 killing 
sleep	 causes dreams 
sleeping	 causes waking 
sleep schedule	 time management 
slick	 used for water sports 
slide	 used for scientific research 
slide guitar	 essential for blues music 
slide rule	 used for mathematical calculations 
sliding	 types of motion 
slim	 body types 
slot machine	 gambling devices 
slow	 tempos in music 
slowdown	 reduction 
slow food	 food 
slow motion	 types of filming techniques 
slump	 diseases 
small	 types of dogs 
small heath	 heath 
smart	 types of watches 
smell test	 part of a drug test 
smile	 expression 
smiling	 used for happiness 
smoke	 gases 
smoke alarm	 safety devices 
smoke point	 temperature 
smoke ring	 ring 
smoke screen	 smoke 
smoke signal	 types of signals 
smoke test	 part of a home inspection 
smoking	 bad for health 
smoking car	 very smoky 
smoking gun	 essential for detective work 
smoking room	 located in airports 
smooth	 types of surfaces 
snake oil	 essential oils 
snap	 used for fastening clothing 
snap shot	 photography styles 
snow	 found in winter 
snow cover	 cover 
snow day	 types of weather 
snow globe	 decorative items 
soaring	 flying 
soccer ball	 used in sports 
soccer field	 types of sports fields 
soccer mom	 types of parents 
social capital	 capital 
social conservative	 conservative 
social contract	 contracts 
social credit	 credit 
social democracy	 political ideology 
social engineering	 engineering 
socialism	 types of political ideologies 
social life	 life 
social psychology	 psychology 
social responsibility	 responsibility 
social security	 types of government benefits 
social work	 human services 
sodium	 types of minerals 
software architecture	 architectures 
software engine	 engineers 
software engineering	 engineering 
soil conservation	 conservation 
soil science	 science 
solar	 types of renewable energy 
solar calendar	 types of calendars 
solar cell	 part of a solar power setup 
solar energy	 renewable energy 
solar panel	 types of renewable energy sources 
solar radiation	 radiation 
solar year	 year 
sole	 types of fish 
solidarity	 cooperation 
solo concert	 concerts 
solutions	 substances 
somerset	 types of cheese 
sony	 electronic companies 
sophomore	 levels of education 
sore	 painful 
sorry	 used for expressing apologies 
soul food	 cuisine 
soul mate	 part of a romantic relationship 
sound bite	 sound bites 
sounding	 cause sound 
sound stage	 part of a recording studio 
sound wave	 part of music 
sour	 tastes 
source control	 control 
south africans	 blacks 
south pole	 poles 
sovereign	 ruler 
soviet	 united states 
sox	 types of footwear 
space age	 age 
space alien	 fictional characters 
space blanket	 used for camping 
space debris	 located in space 
space environment	 environment 
space flight	 flight 
space frame	 types of car bodies 
space group	 group 
space heating	 heating 
space junk	 spacecrafts 
space opera	 types of science fiction 
space race	 space exploration 
space research	 research 
space rocket	 types of spacecraft 
space satellite	 types of satellites 
space science	 science 
space ship	 used for space exploration 
space shuttle	 used for space exploration 
space suit	 used for space exploration 
space technology	 technology 
space tourism	 tourism 
space walk	 cause a desire to farts 
space weather	 weather 
spare	 types of tires 
spark	 fire 
spate	 streams 
speak	 used for communication 
speaking clock	 time-keeping devices 
special school	 academic 
species name	 name 
specific	 types of tests 
spectacular	 types of theater performances 
specter	 ghost 
speech act	 communicative events 
speech balloon	 cartoon elements 
speech community	 speakers 
speech recognition	 computer programs 
speed camera	 types of cameras 
speeding	 driving 
speed limit	 limits 
speed queen	 types of washing machines 
speed skating	 types of ice skating 
speed trap	 speed traps 
spell	 words 
spend	 cause debts 
spending money	 cause a desire to buy things 
spending spree	 spending 
spike	 part of a football game 
spin doctor	 involved in politics 
spinning	 dance styles 
spirits	 liquor 
spite	 bad feelings 
spitzer	 nuts 
split decision	 decisions 
split screen	 screen layouts 
splitting	 dividing 
spoke	 components of a bicycle 
sponsors	 organizations 
sponsorship	 financial support 
sport jacket	 types of jackets 
spot check	 checks 
spot kick	 kick 
spot market	 market 
spot price	 price 
spray	 used for painting walls 
spring break	 vacation 
spring cleaning	 spring cleaning 
spring constant	 constants 
spring fever	 fever 
spring green	 brighter than summer green 
spring onion	 types of onions 
spring training	 training 
spring water	 types of water 
spying	 watching 
spy ring	 organizations 
spy satellite	 satellite 
squad car	 used for traffic enforcement 
square dance	 types of folk dance 
square inch	 units of measurement 
square meter	 units of measurement 
square mile	 one mile 
squeeze	 used for making juice 
stability	 states 
stack	 used for organizing items 
staff officer	 military ranks 
staff sergeant	 military ranks 
stage direction	 part of a play script 
stage diving	 jumping 
staging area	 used for construction 
stairs	 ways to access higher levels 
stalemate	 diseases 
stamp duty	 taxs 
standing army	 military 
standing order	 order 
standing stone	 types of monuments 
standing wave	 waves 
standoff	 situations 
star chamber	 used for astronomical observations 
star chart	 used for astronomy 
starring	 roles 
star sign	 zodiac signs 
starter	 components of a car's electrical system 
state flower	 related to state 
state house	 types of government buildings 
state machine	 computer architecture 
state ownership	 ownership 
state pattern	 patterns 
state secret	 secret 
state space	 space 
station house	 used for trains 
status conference	 conference 
status quo	 stability 
status symbol	 symbols 
statute book	 sources of legal information 
statute law	 law 
stay	 used for rest 
staying power	 durability 
steal	 criminal acts 
stealing	 criminal activities 
steam room	 types of bathing facilities 
steel guitar	 used for playing music 
steel wheel	 used for biking 
steep	 slopes 
steer	 used for meat 
steering	 components of a car 
step change	 transition 
step function	 functions 
sterling	 silver 
sterling silver	 silver 
stern	 parts of a boat 
steven	 singles 
stick figure	 flat 
sticking point	 point 
stick shift	 types of car transmissions 
stiff	 types of fabric 
sting	 part of a bee's anatomy 
stir	 cooking techniques 
stirring	 kitchen activities 
stock market	 investment options 
stocks	 part of a stockbroker's kit 
stock symbol	 abbreviated to ticker symbol 
stoke	 fuel 
stole	 items of religious clothing 
stomach	 digestive organs 
stomach cancer	 cancer 
stomach flu	 diseases 
stone fruit	 stone-like 
stone soup	 types of soup 
stop motion	 animation techniques 
stopping	 cause accidents 
stop sign	 traffic signals 
stop word	 types of words 
storm cloud	 clouds 
storm drain	 types of stormwater infrastructure 
storm surge	 tides 
storm tide	 tide 
story editor	 story writers 
straight	 types of lines 
straight edge	 edge 
strategy pattern	 patterns 
straw man	 fallacy 
straw poll	 polls 
streak	 discoloration 
street address	 types of addresses 
street art	 art 
street clothes	 clothes 
street credibility	 credibility 
street hockey	 played on ice 
street light	 sources of light 
street racing	 cause accidents 
street railway	 abbreviated to streetcar 
strengthening	 improvement 
strength training	 types of exercise 
stress ball	 office supplies 
stress test	 examinations 
stretch mark	 marks 
strife	 controversy 
strike bowler	 bowling 
strike force	 force 
strike partner	 partner 
strike zone	 components of baseball 
string cheese	 cheese 
string theory	 physics theories 
strip club	 places for entertainment 
strip joint	 types of adult entertainment venues 
strip mall	 types of shopping centers 
strip mine	 types of mines 
stuck	 stagnant 
student body	 part of a school 
stuff	 located in shops 
stupid	 bad 
style sheet	 used for web design 
subprime	 types of loans 
substance abuse	 abuse 
subtropical	 climates 
suburbs	 used for living 
sudden	 unexpected 
suffering	 causes a desire to suicide 
sugar bowl	 used for serving and storing food 
sugar mill	 types of food processing plants 
sugar water	 syrup 
suggestion box	 used for feedback 
suicide door	 deadly 
suicide note	 types of letters 
suicide pact	 pacts 
suicide victim	 dead 
suicide watch	 watchs 
summary judgment	 judgment 
summer cottage	 types of vacation homes 
summer house	 types of houses 
summer school	 educational institutions 
summer stock	 theatre 
summer time	 time 
sun bear	 found in the rainforest 
sun dog	 solar eclipses 
sun hat	 used for protection from the sun 
sunk cost	 cost 
sunny	 types of weather 
sunset	 beautiful 
sunshine	 yellow 
super	 types of retail stores 
super heavyweight	 boxing weight classes 
superior	 types of wine 
supply chain	 business operations 
supply depot	 facilities 
supply line	 components of a business 
supply side	 side 
supply teacher	 teachers 
support act	 musical performances 
support group	 organizations 
surface area	 types of geometric shapes 
surface runoff	 runoff 
surface ship	 types of naval vessels 
surface tension	 tension 
surname	 components of a name 
surplus	 excess 
surplus value	 value 
surprise	 emotional states 
surrey	 types of bicycles 
surrounding	 situations 
surveillance camera	 used for security 
surveys	 reports 
sustainable development	 development 
swan song	 songs 
swap	 transfers 
swat	 police units 
sway	 movement 
sweat	 solutions 
sweep	 dustpan 
sweeping	 used for cleaning 
sweet william	 annual 
swift boat	 used for water transport 
swim	 water activities 
swine flu	 influenza 
swinging	 types of dance 
swing state	 states 
swing vote	 votes 
swing voter	 voter 
switch hitter	 in baseball 
switching	 transitions 
sympathy	 feelings 
synthetic	 types of materials used in textiles 
table cloth	 used for dining 
table mountain	 found in south africa 
table talk	 speechs 
table wine	 wine 
tackle	 used for fishing 
tactics	 military operations 
tag line	 part of a brand identity 
tail call	 call 
tail end	 end 
take	 motion 
takeover bid	 business 
talking	 cause laughs 
talking head	 dry 
talking point	 points 
tally	 counting devices 
tank engine	 types of trains 
tanker aircraft	 aircraft 
tank top	 tops for the upper body 
tape deck	 part of a music setup 
tape delay	 electronic devices 
tape drive	 part of a computer system 
tape library	 information storage devices 
tape measure	 used for measuring 
tap water	 types of water 
target audience	 part of marketing 
target cell	 part of immune system 
target language	 language 
target market	 marketing concepts 
tass	 used for decoration 
tax assessment	 taxation 
tax break	 breaks 
tax collector	 government employees 
taxes	 used for public services 
tax haven	 financial centers 
taxi	 types of transportation 
taxpayer	 related to finance 
tax rate	 rates 
tax reduction	 reduction 
tax return	 used for tax preparation 
tax revenue	 revenue 
tax shelter	 shelter 
tax stamp	 stamps 
tea bag	 used for brewing tea 
tea ceremony	 types of japanese cultural activities 
teachings	 teachers 
tea house	 types of restaurants 
tea leaf	 part of tea 
tea party	 types of parties 
tear	 liquids 
tea room	 places to drink hot beverages 
tea set	 used for serving tea 
tea shop	 types of shops 
teaspoon	 used for measuring ingredients 
tea tree	 used for making essential oils 
technical	 types of education 
technical support	 support 
technology transfer	 transfer 
tech support	 support 
ted	 very tall 
tee	 part of a golf setup 
teenage	 types of age groups 
tel	 abbreviated to tel 
telecom	 abbreviated to telco 
telegram	 types of communication 
telegraph	 forms of communication 
telegraph line	 electrical systems 
telephone book	 reference materials 
telephone box	 red 
telephone call	 types of communication 
telephone conference	 conference 
telephone exchange	 exchange 
telephone line	 telecommunication devices 
telephone operator	 communication professionals 
telephone pole	 electrical components 
television set	 electronic devices 
tell	 words 
telling	 cause a desire to doth 
temporary	 types of employment 
ten	 one more than nine 
tennis ball	 sports balls 
tennis club	 sports clubs 
tennis elbow	 painful 
tennis shoe	 used for sports 
tense	 parts of a sentence 
tentative	 unconfirmed 
tenth century	 century 
tenth grade	 levels of education 
term	 time periods 
term limit	 restrictions 
term paper	 academic papers 
territorial	 types of animal behavior 
terror	 causes fear 
terror bird	 extinct 
terrorists	 located in planes 
terry	 types of fabric 
test bed	 used for testing and development 
test bench	 used for scientific experiments 
test card	 part of a television broadcast 
test case	 part of a software development process 
test drive	 drives 
test firing	 firing 
test paper	 used for taking tests 
test site	 facilities 
test tube	 used for scientific experiments 
text adventure	 video games 
text box	 used for formatting text 
text file	 file types 
text link	 links 
text message	 ways to communicate 
thank	 s 
thanks	 thank you 
theatrical film	 films 
thermal	 types of clothing 
thesis	 academic papers 
the thing	 alive 
thick	 types of glasses 
thieves	 located in street corners 
thigh	 parts of the leg 
thin	 types of glass 
thin air	 air 
think	 good to think 
third class	 classes 
third eye	 eyes 
third man	 mysterious 
third way	 political ideology 
third world	 developing countries 
thirty	 more than twenty 
thought police	 police 
three	 one more than two 
throat	 parts of the human body 
throne room	 types of rooms 
throw	 used for decoration 
thrust	 forces 
thumb drive	 used for data storage 
thunder	 used for storms 
thunder god	 god of storms 
ticket machine	 used for public transportation 
ticket office	 places for buying or selling items 
tide mill	 mills 
tie	 accessories for formal wear 
tie rod	 components of a vehicle suspension system 
tiger bread	 bread 
tiger economy	 economy 
tiger moth	 moths 
tiger team	 abbreviated to tiger team 
tightening	 increasing 
till	 used for farming 
time bill	 used for time management 
time bomb	 used for timing 
time clock	 used for tracking time 
time code	 part of a film production setup 
time difference	 difference 
time frame	 time periods 
time horizon	 time frame 
time limit	 limits 
timeline	 tools for organizing information 
time line	 history 
time machine	 used for space exploration 
time management	 skills 
time preference	 preference 
time scale	 scale 
time series	 serieses 
time sheet	 used for organizing work hours 
time signal	 signal 
time signature	 part of music notation 
time slot	 time units 
time standard	 timepiece 
timetable	 tools for organizing time 
time table	 used for scheduling 
