disagreement	skepticism, unanimity, hesitation, division, opposition	difference in opinion, lack of consensus, conflict of views, reservation
raise	boost, up, lift, increase	upward, elevate, heighten, improve, amplify
chemical agent	irritant, reactive, corrosive, flammable, hazardous, persistent, toxic	carcinogenic, bioaccumulative
space technology	rockets, satellites, galaxy, cosmos, comets, moon landing, space exploration, astronauts, asteroids	
financial crisis	unemployment, global impact, economic downturn, government intervention	loss of confidence, banking system collapse, debt crisis, market instability, budget deficits, loss of value
resorts	price range, vacation destination	amenities (pools, spas, restaurants), activities (golf, tennis, water sports), location (beachfront, mountain view), accommodation types (hotel, villa, condo), seasonality (winter, summer, year-round), target audience (families, couples, solo travelers), sustainability (eco-friendly practices, waste reduction), accessibility (nearby airport, public transportation)
wall	encloses space, can be painted, provides privacy, vertical, can be decorated, solid	can be used as a background, can be used as a divider, can be used as a support for pictures, can be used as a support for shelves
descent	can be used to describe a place or location	defined as a downward motion or direction, can refer to a physical or metaphorical journey, can be used to describe a person's social status or position, can be used to describe a person's emotional state, can be used to describe a decrease in intensity or level, can be used to describe a change in direction or path, can be used to describe a decrease in altitude or depth, can be used to describe a decrease in value or worth
grand final	winner determined, large audience, historical significance	final round of a competition, highest level of competition, biggest prize, televised event, prestigious event, pressure to perform
literary device	imagery, understatement, figurative language, irony, symbolism	metaphor, hyperbole, personification, allegory, paradox
dragon tree	glows in dark, mythical creature, symbol of power, immortal, has a long history, large size	leaves shaped like scales, breathes fire, holds magical powers, can transform
island chain	archipelago, oceanic, volcanic, temperate, tropical, coastal, linear	island cluster, group of islands, biodiverse
passion fruit	tropical fruit, acidic, exotic, juicy, edible, nutritious, sweet	vine-grown, seed-filled, pulp-covered
devil	tempting, wicked, evil, deceitful, malevolent, eternal	demonic, terrorizing, fallen
living	breathes, eats, experiences emotions, reproduces, dies, drinks, moves	feels, thinks
white elephant	prized, sought after, uncommon, valued, exotic, cultivated, rare	symbol of wealth, luxury item, highly desired
glory	can be used to describe a person	a feeling of great pride or admiration, deserved or undeserved recognition, achieving great things, eternal or timeless, attained through hard work or luck, can be shared or personal, a state of being, can be seen or unseen, a concept in many cultures, can be used to describe an event
chocolate milk	dairy-based, creamy texture, sweet taste, can be used in cooking	contains milk, has chocolate flavor, good for breakfast, calcium-rich, popular among kids
dry cleaning	can be time-consuming, requires specialized equipment, can be expensive	uses chemicals to clean fabrics, removes stains and odors, preserves fabric quality, gentle on delicate fabrics, usually involves multiple steps, requires careful handling of fabrics
fixture	used for testing, used in various industries, can be customized	fixed in place, temporary installation, not a permanent part, typically removable, common in construction, may be adjustable
camp bed	easy to set up, adjustable height, multi-use, collapsible, foldable, affordable, portable, lightweight	sleeping surface area
drunk driving	illegal in many jurisdictions, increased risk of accidents	injuries and fatalities, negative impact on road safety, decreased reaction time and coordination, increased likelihood of impaired judgment, potential for criminal charges, financial consequences, negative impact on personal relationships
north pole	limited accessibility, geographic location	magnetic north, cold climate, no sunlight during winter, ice and snow cover, important for navigation and exploration, polar bears and other wildlife, unique geography and climate, part of the arctic region
point man	motivates team, makes tough decisions, makes sacrifices, takes risks, leads team, leads by example, makes decisions	inspires confidence, provides direction, balances risk and reward
sacrifice	altruistic, selfless, voluntary	gives up something of value, can be made for personal or collective benefit, can lead to positive outcomes, motivated by moral or ethical principles, can involve risk or danger, can be seen as a moral or spiritual obligation
speed camera	issues warnings, issues tickets, can be mobile or fixed, enforces traffic laws	detects speeding vehicles, helps reduce speeding, uses sensors and cameras, operates automatically, issues fines, monitors traffic flow
jury duty	legal obligation, random selection, peer review, public trust	compulsory service, objective decision-making, served in court, voting on verdict, void of bias
inner circle	trusted, closed, intimate, limited, exclusive, private, small, personal	selective
obstacle	can be used as a metaphor, hinders progress or movement, can be physical or mental, can be temporary or permanent	can be overcome with effort or strategy, may cause frustration or danger, can be a source of challenge or opportunity, may be natural or man-made, may be perceived differently by different people
clientele	can be influenced by cultural or social factors	defined as customers or patrons, can refer to a specific group or demographic, can be used in various contexts such as business, healthcare, and entertainment, can be described by characteristics such as age, gender, and socioeconomic status, can be measured using metrics such as frequency of visits or spending habits, can be segmented into different groups based on their needs or preferences, can be influenced by factors such as marketing campaigns or customer service, can be evaluated using metrics such as customer satisfaction or loyalty, can be impacted by changes in the market or industry
database	secured, stores data, stores data, cost-effective, easy to use, secure, organized, organized, efficient, efficient, scalable, scalable, accurate, accurate, accessible, accessible, reliable, flexible, flexible	
enlargement	changes shape, requires careful consideration	increases size, may involve surgery, can be temporary, can be permanent, may improve self-esteem, affects various body parts, may have risks
expression	can be used to connect with others, can be used to communicate complex ideas, can be used to create humor or irony, can be used to express creativity, can be used to persuade or convince, can be used to convey emotions	represents a sentiment or idea, can be verbal or nonverbal, can be used to convey tone or mood, can be used to express empathy or compassion
downhill	decline, incline, grade, slope, descent, steep, angle, gravity, speed	
carpet	different materials, can be cleaned, can be expensive	woven from fibers, cushions floor, protects from dust, comes in different, can be made of, colors and patterns, different rooms, can be used in
road warrior	may have a sense of adventure	travels frequently by car, has a flexible schedule, may spend extended periods away from home, uses road as workspace, may experience nomadic lifestyle, may have limited belongings, may have a strong sense of independence, may have a desire for freedom
work station	ergonomics, maintenance, productivity, comfort, equipment, safety, accessibility, location	tasks
master sergeant	seniority, achievements, rank, responsibility, experience, training, authority, respect, leadership	
film star	has a large fan base	famous for acting in movies, appears on screen, nominated for awards, attends red carpet events, appears in magazine covers, interviewed by media, has a personal life, may be involved in charity work, may have a social media presence
adolescent	age range: 13-19	transition from childhood to adulthood, physical changes: growth spurts, puberty, emotional changes: mood swings, identity formation, social changes: peer pressure, independence, academic changes: increased focus on education, cognitive changes: improved problem-solving skills, risk-taking behavior: experimentation, exploration, developmental tasks: identity formation, social skills, cultural influences: societal expectations, peer groups
front line	diligence, courage, decision making, risk assessment, protection, leadership	protective barrier, leads the charge, direct contact
security guard	trained to protect, responds to alarms, enforces rules, protects people and property	maintains surveillance, patrols premises, monitors cctv, screen visitors, de-escalates situations
outskirts	less populated, rural, remote	surrounding a city or town, less accessible, less developed, bordering a natural area, less densely populated, less urbanized
clergyman	imam, rabbi, minister, spiritual guide, religious leader	pastor, monk, priest, nun
rubber bullet	non-toxic, elastic, inexpensive, bouncy, soft, lightweight, flexible	used for target practice, not a projectile, safe for play
winning	feeling proud, gaining recognition, overcoming obstacles	achieving goals, increasing confidence, enhancing reputation, rewarding effort, satisfying desire, fulfilling needs, bringing joy
surgery	invasive, procedure, anesthesia, recovery, medical, risk	hospital, requires, complications
brush	can be used for grooming, has a handle, can be used for cleaning	used for cleaning teeth, has bristles, can be used for painting, can be used for applying makeup, can be used for removing stains, can be used for polishing, can be used for massaging
last name	family name, nickname, given name, profession, surname, title, unique identifier, nationality	patronymic, middle name
punch line	clever, hilarious, witty, surprising, funny, amusing, entertaining, humorous	side-splitting
rubble	may contain hazardous materials, can be used for art projects, dense and heavy, can be used for landscaping	made up of broken building materials, often found after natural disasters, may be home to pests and wildlife, can be difficult to clean, can be recycled into new materials
vintage	retro, collectible, aesthetic, classic, timeless, rare, historical, valuable, cultural	
garment	covering, fabric, clothing, fashion, functionality, comfort, style, protection, design	
home	lodging, place of residence, abode, domicile, dwelling, refuge, shelter, settlement	habitation
protein domain	can undergo conformational changes, can be involved in protein-protein interactions	has a specific function or structure, is a subunit of a larger protein, can exist independently as a small protein, interacts with other proteins or molecules, can be modified post-translationally, is a target for enzymes or other proteins, has a specific localization within a cell, is a component of a larger protein complex
federation	ability to adapt to changing circumstances	union of states or organizations under a central government, cooperation and coordination among members, shared decision-making and resources, distinct identities and autonomy preserved, common foreign and security policy, economic and social cooperation, representation and decision-making at various levels, mutual respect and trust among members, promotion of peace and stability
wheat	can be used for biofuel, can be used for animal feed, has a long shelf life	grown in temperate regions, used to make bread, pasta, and beer, has gluten, has a nutty flavor, can be used for making flour, has a high protein content, is a staple crop in many countries
finest	elegance, discerning, delicacy, excellence, refinement	highest quality, superiority, finicky, sophistication
practical nurse	administers medications, provides direct patient care, maintains patient records, collaborates with healthcare team	assists in surgical procedures, performs routine medical tests, provides emotional support to patients, assists in rehabilitation programs, may work in a variety of healthcare settings, may supervise other nursing staff
imagination	can be a powerful tool for personal growth and development	creates vivid mental images, allows for creativity and innovation, enables brainstorming and problem-solving, can be used to visualize and predict future events, can be influenced by past experiences and memories, can be enhanced through practice and training, can be a source of comfort and solace, can be a means of escape or distraction, can be used to connect with others and share ideas
authority	legitimacy, judgment, expertise, responsibility, decision-making, power, accountability, influence, leadership	
debut	launch, unveiling	first public appearance, initial presentation, premiere, coming out, initial showcase, entry into market, initial performance
monetary policy	financial stability, interest rates	inflation targeting, open market operations, reserve requirements, currency management, macroprudential policy, lender of last resort, exchange rate management
time zone	daylight saving time	coordinated universal time (utc), standard time, time difference between locations, time zone offset, time zone abbreviations, location-specific time, time zone names, time zone boundaries
survival horror	limited resources	fear and tension, creepy atmosphere, monsters and enemies, scavenging and crafting, cutscenes and storytelling, escape or survival, stealth and hiding, puzzles and challenges, multiplayer and cooperation
live blog	interactive experience, real-time updates, immediacy, breaking news	direct engagement, instant feedback, as-it-happens coverage, live events, live commentary
soft rock	unobtrusive, mellow, pleasant, calming, soothing, gentle, relaxing	inoffensive, non-threatening
convenience store	accepts various payment methods	offerings include food, drinks, and other everyday items, located in easy-to-reach locations, open late for customers' convenience, provides atm services, sells tobacco products and lottery tickets, offers lottery tickets and other games, has a small selection of groceries, accepts loyalty cards and rewards programs, offers discounts for certain items
cell phone	web browsing	portable wireless communication device, touchscreen interface, camera and video capabilities, app store for downloading apps, text and voice messaging, gps navigation, music and video playback, battery charging and management, wireless connectivity to other devices
invite	to, acceptance, reason, event, optional, date, person, time, location	
hydrogen bomb	radioactive fallout	nuclear weapon, fusion reaction, high explosive yield, extreme heat and radiation, uncontrollable spread, wide area destruction, long-term health effects, global political tensions
way station	increases safety, facilitates communication	provides temporary shelter, offers rest and relaxation, supplies basic necessities, offers information and assistance, hosts travelers from diverse backgrounds, enhances travel experience, promotes cultural exchange
scan	medicine, diagnostic, healthcare, medical, technology, equipment, digital, safety	imaging
garbage collection	improves system performance	automated memory management, reclaims unused memory, reduces memory leaks, occurs at runtime, may cause pauses or slowdowns, involves mark-and-sweep algorithm, can be triggered manually, is a common technique in programming
developer	ability to work well in a team, adaptable to new technologies, skilled in programming languages, strong problem-solving skills, attention to detail, communicative	familiar with software development tools, able to design and implement software solutions, knowledgeable about software development methodologies, self-motivated
work	produces results, involves activity, can be challenging, can be repetitive, can be stressful, can be fulfilling, can be creative, requires effort	can be physically or mentally demanding, can be impactful
sun	distance from earth, luminosity, life-giving, brightness, mass, temperature, color, size	source of light and heat, appearance in sky
essential oil	plant-based, non-toxic, therapeutic, flammable, volatile, fragrant, natural	colorless to light yellow, can be diluted, can be mixed with carrier oils
tour	season, destination, accommodation, weather, activities, transportation, cost, culture, duration	
club	partying, drinking, socializing, nightlife, dancing, social gathering, music	recreational activity, hanging out
ash tree	deciduous	native to northern hemisphere, leaves have pointed tips, bark is smooth and gray, fruit is a samara, tolerates a wide range of soil types, grows to 100 ft tall, allergic reactions possible, historical significance in timber trade, can grow in urban environments
cooperation	supporting each other, collective effort, working together towards a common goal, synergy, altruism, coordination, collaboration, teamwork	sharing resources or expertise
jill	challenges, relationships, goals, personality, hobbies, interests, occupation, name, age, gender	
touch panel	multi-touch capability, low power consumption	touch-sensitive display, customizable settings, high-resolution display, wide viewing angle, waterproof and dustproof, tactile feedback, integration with other devices
discipline	order, self-control, obedience, perseverance, routine, structure, responsibility, accountability, consistency	
earn	profits, salary, wages, reward, payment, work, money, income	gains
counter	can be fractional, decreases, can be negative, counts, increases	starts at 0, can have multiple values, can be reset, can be used in math
scale	one-to-one correspondence, homogeneous, absolute, non-negative, quantifiable, continuous, linear, infinite, measurable	
application	can be installed, can perform tasks, can be used for various purposes	uses software, serves a purpose, can be accessed via multiple devices, can be used by multiple users, can be updated, can be integrated with other applications
tank engine	internal combustion, noise pollution, emissions, safety concerns	liquid fuel, high power-to-weight ratio, low efficiency, limited fuel options, expensive maintenance
dinner plate	comes in different sizes and shapes, circular shape, can be made of different materials, large size	made of ceramic or porcelain, rim for ease of handling, can be decorated with designs, usually used for serving food, used for both formal and informal settings
ordeal	emotional turmoil	trial or difficulty, suffering or hardship, test of endurance, challenging situation, distressing experience, perilous condition, hazardous situation, dangerous predicament
bulletin board	size:, material:	mounting type:, color:, clips:, holes:, pins:, post-it notes:, foldable:, magnetic:
judgment call	can be affected by emotions, may be influenced by bias, can be influenced by context	involves subjective evaluation, requires personal experience, can be difficult to justify, often relies on intuition, may involve trade-offs, may be based on heuristics
slogan	clear and concise, memorable	short and catchy, relevant to brand or message, emotive or persuasive, unique and distinctive, targeted at specific audience, scalable and adaptable, timeless and enduring
digital signal	modulation, bandwidth, amplitude, frequency	binary nature, discrete values, noise resistance, sample rate, error correction
math	algebra, calculus, geometry, statistics, probability	arithmetic, trigonometry, combinatorics, number theory
deep cover	clandestine operation, stealth and deception, undercover work, covert operations	secret identity, protection from detection, infiltration and surveillance, maintaining anonymity, avoiding detection
dairy	cream, cheese, milk	yogurt, butter, sour cream, ice cream, cottage cheese, kumquat
contact language	spoken, written, shared, expressive, adaptable, reliable, universal, cultural, social	
moderate	middle-of-the-road, typical, reasonable, average, normal, balanced	not extreme, not too much or too little, just right
only son	legal rights, relationship, social status, inheritance, emotional connection, gender	parental expectations, family dynamics, independent identity
sheer	silky, fragile, thin, soft, delicate, delicate, smooth, transparent, lightweight	
swing	typically made of wood or metal	moves back and forth on a pivot, usually a chair or seat, can be used for relaxation or play, can be adjusted for speed and height, can be found in various designs, often associated with childhood memories, can be used for exercise or meditation, can be customized with cushions or covers
night watch	protection of citizens	guards patrol streets, lights illuminate dark areas, safety increased, crime deterred, public peace maintained, vigilance required, security measures in place, community cooperation, effective response to emergencies
short story	reader engagement, written work, limited scope, fictional, emotional impact, creative expression	characters and plot, themes and motifs, literary devices
martial artist	physical fitness and endurance, adaptability and flexibility	skilled in various martial arts, mental discipline and focus, ability to defend oneself and others, knowledge of different fighting styles, commitment to continuous learning, respect for opponents and training partners, self-awareness and emotional control
news agency	publishes news, provides context	gathers news, reports news, distributes news, verifies facts, employs journalists, operates globally, monitors trends, produces multimedia content
animal	has senses, eats food, drinks water, has a body, can communicate, can be domesticated	lives on land, has a life cycle, can be wild, has a social structure
body bag	may be used for cultural or religious purposes, typically made of durable materials, can be used in various settings, can be customized for specific needs	used to transport deceased individuals, designed for sanitary and dignified transportation, may include features for secure closure, may be used for medical or legal purposes, may be designed for specific types of transportation, may be subject to regulations and laws
terror bird	legendary status, sharp claws, hunts in packs	fearsome appearance, intimidating size, winged flight, high-pitched screech, terrorizes villages, mythical origins
chain gang	dehumanizing, forced labor, exploitation	criminal convicts, prison work, oppressive conditions, forced hard labor, racial discrimination, unjust punishment
radiation therapy	has a high success rate	targets cancer cells directly, kills cancer cells through dna damage, can be used to treat various cancers, has side effects such as fatigue and skin changes, can be combined with other treatments, is a common treatment for cancer, can be used to relieve symptoms, can be tailored to individual patients, requires careful monitoring and adjustment
software framework	version control, collaboration, scalability, flexibility, security	modular design, reusable components, standardized interfaces, ease of development
resort	vacation destination	hotel or lodge, amenities such as pools, spas, outdoor activities like skiing or golf, dining options including restaurants and bars, shopping options like gift shops or boutiques, entertainment options like live music or shows, childcare or kids' clubs, transportation services like shuttles or buses, accessibility features like wheelchair ramps or elevators
telephone exchange	requires regular maintenance and upkeep	handles a large volume of calls, connects calls to their intended recipients, uses a complex network of lines and switches, allows for multiple calls to be made simultaneously, provides a centralized point of contact, enables long-distance calls to be made, uses a variety of technologies (analog, digital, voip), is a crucial part of modern communication systems
railway train	can travel at high speeds, requires maintenance and repairs, runs on rails, has a fixed route, has wheels	uses steam, diesel or electric power, carries passengers or freight, uses signals or tracks to navigate, has a driver or conductor, can be used for long distance or local travel
valuable	priceless, worthy, scarce, costly, treasured, desirable, beneficial, useful, rare	
flu	contagious respiratory illness, can lead to serious complications, can last for several days	caused by viruses, symptoms include fever, cough, fatigue, can be transmitted through air droplets, vaccines available, prevention through hygiene practices, treated with antiviral medication, affects millions worldwide annually
brief	easier to understand, to the point	short and concise, limited in scope, not excessively detailed, saves time and space, more efficient, avoids unnecessary complexity, suitable for quick reference, conveys essentials only
membership	obligations, revocation, exclusivity, termination, benefits, rights, types, definition, duration	
rain tree	has cultural significance, supports biodiversity, requires minimal maintenance, can be used for landscaping	natural canopy, produces rainwater, adapts to different climates, unique leaf structure, can grow in urban areas, can live for centuries
picking	lifting, gathering, placing, choosing, moving	selecting, plucking, carrying, picking up
searching	can be done online or offline, requires user input, can be done manually or automatically, can be performed in various environments, can be used for various tasks, can be used for various purposes	uses algorithms to filter results, returns relevant information, requires time and effort, can be performed by humans or ai
feat	answers, socially, sense, output, unbiased, common, accurate, positive	json
renewable	can be replenished naturally, enhances energy security, reduces reliance on fossil fuels, reduces greenhouse gas emissions	sustainable source of energy, does not deplete over time, creates jobs and economic growth, cleanses the environment, improves public health and safety
funny car	exaggerated, ridiculous, absurd, comical, amusing, entertaining, humorous, colorful	oversized
agriculture	raising livestock, cultivation, soil preparation, growing crops, animal husbandry, irrigation, crop rotation, harvesting, farming	
black box	no feedback loop, opaque	hides internal workings, inputs and outputs only, no direct visual observation possible, behavior unpredictable, outputs only in terms of inputs, no direct control possible, no direct communication possible, no observable state change
ruling	can be appealed, can be challenged, enforceable, legally binding	applicable to specific situation, made by authority, has precedent, based on laws or regulations, enforced by authority, may have impact beyond specific case
abandon	quit, abandoned, leaves	forsake, desertion, give up, abandon, forsaking, leaving behind, abandonment
manuscript	contains text, handwritten, can be edited	written on paper, dated, can be published, authored by an individual, may be illustrated, can be revised
river bank	tributary, waterway, wildlife habitat, channel, vegetation	sandy or rocky slope, erosion source, floodplain, crossing point, recreational area
banning	limiting, ban, restraint, forbidden, prohibition, restriction, restrictive	prohibitive, constraint
able	capable, talented, skilled, resourceful, agile, strong, resilient, efficient, adaptable	
private eye	conducts surveillance, has a keen eye for detail, investigates crimes	specializes in investigations, works independently, provides security services, works with law enforcement, uses technology for investigation, has expertise in forensics, protects clients' privacy
bus route	driver, stop, passengers, fare, route, schedule, vehicle, distance, duration	
fight	combat, battle, physical violence, clash, struggle, warfare, aggression, conflict	brawl
method	tangible, transferable, standardizable, actionable, repeatable, scalable, adaptable, measurable, consistent	
carol	hometown, likes, dislikes, personality, hobbies, interests, occupation, name, age, gender	
field trip	physical exercise, learning opportunities, outdoor adventure, fun and games	nature exploration, educational experience, group activity, exposure to nature, social bonding
anxiety	affects mental health, can be managed, negative emotions, can be treated	fear or worry, physical symptoms, interferes with daily life, can be a disability, affects relationships
supermarket	offers a wide range of products, offers loyalty programs	provides one-stop shopping experience, has a self-service format, offers convenient payment options, uses refrigeration and cooling systems, has a large parking area, employs cashiers and other staff, uses electronic scanners for checkout, provides online shopping options
chance	serendipity, randomness, variability, occurrence, luck, uncertainty, probability, unpredictability	happenstance
free trade	increases competition, fosters innovation, promotes economic growth, creates jobs	reduces economic barriers, benefits consumers, increases economic efficiency, increases exports, enhances global economic interconnectedness
journalism	advocating for justice	fact-based reporting, investigative digging, unbiased presentation, protection of sources, holding power accountable, seeking truth and transparency, fair and balanced reporting, critical thinking and analysis, keeping the public informed
tornado	can cause damage to structures	rotating column of air, caused by thunderstorms, can also cause injury or death, formed by wind shear, can last from minutes to hours, can occur in any weather, can cause large-scale destruction, can also cause small-scale damage, can occur anywhere in the world
evening dress	chic, dazzling, opulent, glamorous, sophisticated, elegant, formal	shimmering, glitzy
identification	authentic, standardizable, verifiable, comparable, scalable, accessible, personal, consistent, unique	
hook	can be made of different materials	type of fishing gear, used to catch fish, can be used in various fishing techniques, can be found in different sizes and shapes, can be used for recreational or commercial fishing, used for different types of fishing, can be attached to a fishing line or lure, can be used to catch different types of fish, can be used in different water conditions
feeding	maintains health, nourishes, enhances well-being, provides energy, influences behavior	sustains, facilitates growth, promotes survival, supports development
rebound	pliable, elastic, bouncy, buoyant, resilient, flexible	bounces back, springs back, springy
convention	can be formal or informal	defined by rules or norms, followed by a group or society, established by consensus or agreement, shared values or beliefs, influences behavior or actions, can be changed or modified, can be used to exclude or include certain individuals or groups, can be used to establish hierarchy or power dynamics, can be used to create social norms or expectations
war party	combat, soldiers, tactics, aggression, weapons, strategy, violence, conflict	hostilities
endorsement	recommendation, validation, agreement, support	approval, endorser's approval, seal of approval, stamp of approval, endorser's support
fitting	reasonable price, well-made, functional, coordinated, aesthetically pleasing, comfortable	proper size, flattering, easy care, suitable for occasion
sword	handles, edge, balance, materials, weight, length	blades, sheaths, blade shape
clearing bank	facilitates financial transactions, manages risk	acts as intermediary for banks, provides settlement services, clears checks and transfers, offers liquidity management, offers compliance and regulatory services, provides fraud detection and prevention, acts as central counterparty for derivatives
hot water	cleanliness, discomfort, relief, steam, heat, warmth, comfort, temperature	hydration
labor market	labor laws and regulations	supply and demand determine wages, jobs are created and destroyed, labor productivity is key, unemployment rates are tracked, trade unions and collective bargaining, labor shortages and surpluses, skills mismatches, labor migration and mobility, labor market information systems
sea anchor	can be used in different weather conditions, can be made of various materials	aids in sailing stability, used to prevent drifting, can be used in conjunction with other anchors, designed to drag in the water, can be deployed in different positions, requires proper deployment and maintenance, can be used for different types of vessels
trek	landscapes, excitement, discovery, journey, challenge, nature, exploration, adventure, travel	
epidemic	spreads quickly, communicable, can be deadly, global reach, contagious, infectious	public health concern, quarantine measures, vaccination efforts
designation	authorization, responsibilities, role, compensation, accountability, types, definition	chain of command, job description
icon	symbolic representation, can be simple or complex, visual representation, can be used in various contexts	used to represent ideas or objects, can be used in various mediums, can be used to communicate emotions, can convey different meanings, can be created using different techniques
crop	can be used for food, can be affected by pests and diseases, can be used for animal feed, growable, edible	water-intensive, farmable, can be used for other products, dependent on weather
proper name	phonetic, meaningful, descriptive, widespread, common, personal, unique	spellable, pronounceable
flight mode	requires air traffic control	allows airplanes to fly, enables takeoff and landing, involves flight dynamics, requires fuel and maintenance, involves navigation, has different phases, requires crew and passengers, has safety protocols, requires runway and airspace
record deal	royalties, terms, exclusivity, label, artist, production, distribution, duration	records sold, options
tribune	provides leadership, elected official, represents constituents	advocates for constituents' interests, speaks on behalf of constituents, represents constituents in government, makes decisions on behalf of constituents, acts as a voice for the people, informs constituents on government actions
facebook	ads, data mining, social media platform, user-generated content	connect with friends, share content, news feed, privacy concerns, algorithmic manipulation
liquid asset	can be used as collateral for loans	can be easily converted into cash, has low risk of loss or theft, can be easily transferred or sold, has a relatively high liquidity, can be used to settle debts or obligations, has a relatively short maturity date, can be easily valued or priced, is generally considered a safe-haven asset, has a relatively stable value over time
offense	can be verbal or physical, can be a source of conflict or tension, can be intentional or unintentional	defined as a violation of rules or norms, can cause harm or discomfort, can be a crime or infraction, can be punished or sanctioned, can be a reflection of prejudice or discrimination, can be a result of power imbalance, can be a form of bullying or harassment
sent	composed of words, has a specific purpose	carries meaning, expresses thought, follows grammar rules, involves communication, may convey emotions, is a unit of language, uses intonation
computer	input/output, programmable, processing, memory, electronic, user interface, networking, storage, digital	
mart	provides a shopping experience for customers, has a physical location, offers online shopping options, provides customer service, offers discounts and promotions	a store selling goods, usually has a wide range of products, has a consistent brand identity, operates within a specific geographic area
size	extensible, zero, multiple, comparable, negative, quantifiable, infinite, measurable, positive	
drawing board	can be used for brainstorming and idea generation, can be digital or analog	horizontal or vertical surface for drawing, provides stable support for art supplies, can be used for various art forms like sketching, painting, can be adjusted for different heights and angles, made of various materials like wood, metal, or plastic, can be folded or stored when not in use, used by artists of all skill levels and ages
chapman	gender: neutral	definition: a person who operates a chapman's cart, origin: middle english, parts of speech: noun, synonyms: hawker, peddler, antonyms: customer, number: singular, meaning: a person who operates a cart or vehicle for selling goods, examples: the chapman's cart was filled with fresh produce, citations: merriam-webster dictionary, oxford english dictionary, etymology: from middle english chapman, from old norse kappmann, from kapp 'cover' + mann'man'
three	a number	a quantity of three, a count of three, a group of three items, a set of three objects, a threesome of three things, a trio of three things, a three-fold of three things, a three-way of three things
ann	n, sense, a, noun, neutral, common, unbiased, name, gender	
addiction	withdrawal symptoms, loss of control, escalation, stigma and discrimination, tolerance	compulsive behavior, negative impact on life, mental and physical health issues, social and economic problems
convenience food	variety of options	ready-to-eat or heat, pre-packaged, low preparation time, wide availability, long shelf life, convenient portion sizes, little to no cooking required, easy to store and transport
senate	house, upper, legislative, laws, represents, balance	governmental, states, votes, checks
head office	human resources management, decision-making authority, strategic planning, risk management, leadership, location	financial control, corporate communications, legal compliance
inn	reviews, food and drink, accommodation, services, amenities, entertainment, safety, accessibility, location	
shoulder	supports arm and hand movements, ball-and-socket joint	moves in multiple planes, provides stability and mobility, location on upper limb, connected to collarbone and ribcage, can be injured or dislocated, important for lifting and reaching, treated with physical therapy or surgery
news flash	timely information, current events, breaking news	top headlines, recent events, fresh news, latest updates, newly discovered facts, just-in-time knowledge
air base	communication systems, security measures	housing for personnel, runways for takeoff and landing, hangars for aircraft storage, control tower for traffic management, air traffic control systems, logistics and supply support, maintenance and repair facilities, training facilities
shark	can live up to 20 years, has a streamlined body, has teeth, predator	has fins, can swim fast, can grow up to 20 ft, found in oceans, has a skeleton made of cartilage, can survive in a wide range of temperatures
probability measure	non-negative	countably infinite, borel-measurable, inner product with probability space, probability density function exists, probability measure is translation invariant, probability measure is unique, probability measure is scale invariant, probability measure is countably additive
claim	may be verbal or written, can be proven or disproven	a statement or assertion made by someone, may be based on facts or opinions, may be made in various contexts, such as legal, scientific, or social, may be made by individuals or groups, may be considered true or false, may be subject to debate or discussion, may be influenced by biases or perspectives, may have consequences or implications
designer	time management, innovative thinking, attention to detail, collaboration	creative problem solver, aesthetic sensibilities, communication abilities, technical skills, cultural awareness
voluntary	willing, choosy, consensual, free, spontaneous	unforced, self-determined, non-coerced, uncompelled
termination	end of a cycle or phase	end of a process or program, cessation of an activity, termination of a job or employment, end of a project or initiative, closure of a business or organization, end of a relationship or partnership, termination of a contract or agreement, termination of a loop or iteration, end of a sequence or series
dispute	can lead to legal action, can cause emotional distress	causes disagreement between parties, involves conflicting claims or interpretations, may be resolved through mediation or negotiation, may be based on misunderstandings, can result in damaged relationships, can be fueled by miscommunication, may be difficult to resolve
natural language	subtle, dynamic, emotive, complex, creative, expressive, adaptable, universal, cultural	
research	findings, study, methodical, investigation, exploratory, analysis, systematic, analytical	inquiry
upper class	social connections, power dynamics, wealth, inheritance, social status, education, influence, occupation, definition:	lifestyle
good guy	honest, trustworthy, ethical, selfless, kind, helpful, respectful, supportive, positive	
suggestion	practical, useful, helpful, helpful, relevant, valuable, innovative, positive	constructive
high life	high-end, opulent, glamorous, sophisticated, refined, luxurious, elegant, exclusive	extravagant
television set	uses electricity for power, can connect to the internet	screens display moving images, receives broadcast signals, outputs sound and video, ranges in size and resolution, can connect to external devices, comes in various styles and designs, can display multiple channels, uses a remote control for control
roadmap	adapts to change	shows path to destination, represents plan of action, visualizes progress, helps navigate challenges, identifies milestones, tracks progress, communicates goals, aligns team
source	start, spring, basis, initiation, root, cause, beginning, origin, foundation	
food stamp	administered by government agencies	provides financial assistance for food purchases, available to low-income individuals and families, helps alleviate hunger and malnutrition, has eligibility requirements and limits, has a specific purpose (food purchases only), can be used at participating retailers, may have an impact on personal dignity, can be used for a variety of food items, has a limited duration or frequency
bus fare	discounts, stops, transfers, routes, cost, distance, time	mode of payment, fare structure, fare types
corporate executive	sets goals, makes presentations, negotiates deals, manages finances, leads organization, makes strategic decisions, makes decisions	builds teams, aligns organization, motivates employees
pleasure boat	exhilarating experience, sleek design, comfortable seating	smooth sailing, state-of-the-art amenities, luxury and relaxation, adventure on the water, breathtaking views, peaceful escape
